Order ID,Order Date,Order Mode,Customer ID,City,Postal Code,Country,Region,Product ID,Product Name,Category,Sub-Category,Sales,Cost Price,Quantity,Discount,List Price,Segment,Correction_Flag
RKW-982849,4/14/2024,Online,RC069836,East End,BH21,England,North West,01JZ3N53J5FTP9096ZS78Y3PGF,Wall Calendar,Home,Decorative Wall Art & Accessories,17.99,5.397,11,0.18,1.9944567627494452,Home,Corrected
YTF-928288,10/31/2024,In-Store,XW060260,Linton,BD23,England,London,01JZ3N55W90654FHXC2MW9J551,Overnight Hiking Backpack,Outdoor,Camping Equipment,79.99,23.997,7,0.34,17.313852813852815,Outdoor,City not in reference
BYF-464482,8/5/2024,Online,FR008830,Kingston,DT10,England,South West,01JZ3N50E9A9YN8P0Z7MTKENNK,Beard Grooming Kit,Grooming,Grooming,34.99,10.497,14,0.08,2.716614906832298,Grooming,Corrected
WEE-997453,7/1/2024,In-Store,YC016347,Thorpe,BD23,England,Yorkshire & the Humber,01JZ3N531RZHRE7XP6J9J2DHWD,Slingback Sandals,Clothing,Women's Footwear,29.99,8.997,11,0.03,2.810684161199625,Footwear,Corrected
JDI-475937,4/1/2024,Online,PW001906,Sutton,CT15,England,South East,01JZ3N55J2TXMQMDGPQBETRMZE,Chipotle Lime Salsa,Food,Salsas,3.99,1.197,13,0.07,0.33002481389578164,Condiments,Corrected
PMF-016057,3/22/2024,In-Store,LV083814,Burnside,EH52,Scotland,Scotland,01JZ3N513N96GEHXZ8EX7RV5DF,Travel Document Organizer,Travel,Travel Accessories,15.99,4.797,11,0.0,9.87037037037037,Travel,Corrected
AFZ-196672,1/24/2024,Online,YO052337,London,WC2H,England,London,01JZ3N55RBBTDXRS10FA4G33NV,Sriracha Honey Glaze,Food,Condiments,3.59,1.077,10,0.23,0.4662337662337662,Sauces,Corrected
RAY-340575,10/3/2024,In-Store,YJ078139,Carlton,DL8,England,Yorkshire & the Humber,01JZ3N52Q3Q3X4VAX3JPA5WFX5,Quinoa Salad,Food,Ready-to-Eat Meals,5.99,1.797,9,0.0,1.683616115498138,Prepared Foods,Corrected
NRR-704122,7/11/2024,Online,QP093917,Linton,BD23,England,North East,01JZ3N50Q2YVHN18ADNX70G8GG,Peach & Mango Salsa,Food,Salsas and Dips,4.49,1.347,6,0.15,0.8803921568627452,Snacks,City not in reference
OUE-020778,9/10/2024,In-Store,LM010826,Linton,BD23,England,North West,01JZ3N51BYKZ5TJ5JHRAC29V9P,Vegetarian Stuffed Peppers,Food,Vegetarian Meals,4.99,1.497,3,0.14,1.934108527131783,Prepared Foods,City not in reference
QYA-070479,10/21/2024,Online,IA020578,Aston,TF6,England,West Midlands,01JZ3N55B4WPEQE6QDRFHK84BE,Wooden Children's Play Kitchen,Toys,Pretend Play Toys,129.99,38.997,11,0.23,15.347107438016529,Toys,Corrected
WWL-152671,12/18/2024,In-Store,CA010518,Sheffield,S33,England,Yorkshire & the Humber,01JZ3N55GPDCTQ0M16H985G9CF,Cinnamon Raisin Bread,Food,Breads,3.79,1.137,2,0.18,2.3109756097560976,Bakery,Corrected
XHO-996385,2/29/2024,Online,SZ015455,Aberdeen,AB39,Scotland,Scotland,01JZ3N54NS8RZ04GX2AJZ79DKT,Peach Slices (canned),Food,Canned Fruits,2.49,0.747,16,0.24,0.20476973684210528,Canned Goods,Corrected
XOM-210568,9/1/2024,In-Store,EE025228,Burnside,EH52,Scotland,Scotland,01JZ3N5652QADWPPWJ0PWG860E,Thai Peanut Dressing,Food,Dressing,3.29,0.987,17,0.38,0.3121442125237192,Condiments,Corrected
ZMT-022457,3/24/2024,Online,DU053934,Norton,S8,England,East Midlands,01JZ3N54TVQ5KQSQJ34MB6ERHH,Deluxe First Aid Kit,Health,Emergency Preparedness & First Aid,39.99,11.997,6,0.33,9.947761194029852,Health,OK
UZF-990618,5/11/2024,In-Store,FR010822,Newbiggin,NE46,England,North East,01JZ3N50VPFAHBHC4N46WSZSEX,Maple Chipotle Glaze,Food,Sauces,3.49,1.047,5,0.19,0.8617283950617283,Condiments,Corrected
YIZ-536167,1/14/2024,Online,PO009558,Sutton,CT15,England,South East,01JZ3N51FX8Z7WYGMVG7F0YSXT,Foldable Picnic Table,Outdoor,Outdoor Furniture,49.99,14.997,13,0.22,4.929980276134122,Outdoor,Corrected
URP-701003,1/2/2024,In-Store,MC022478,Liverpool,L33,England,North West,01JZ3N50ESGK3P4RR5Z0YF0ESD,Greek Feta Cheese,Food,Cheese,4.99,1.497,6,0.27,1.1392694063926943,Dairy,Corrected
KGI-219987,6/19/2024,Online,LT063474,Sheffield,S1,England,Yorkshire & the Humber,01JZ3N532B4S3S4KC6ED2FSAGB,Camping Tent,Outdoor,Camping Equipment,79.99,23.997,17,0.34,7.129233511586453,Outdoor,OK
OCP-808228,10/12/2024,In-Store,PN010412,Wootton,NN4,England,East Midlands,01JZ3N55JX79NVSRWTH1ACVZ43,Chickpea Flour,Food,Flours & Meals,3.29,0.987,15,0.19,0.2707818930041152,Baking,OK
KSA-202828,5/27/2024,Online,IR004773,Denton,M34,England,North West,01JZ3N53K4648H22HQM0V0RQ0P,Pretzel Bites,Food,Savory Snacks,4.99,1.497,4,0.29,1.757042253521127,Snacks,Corrected
JEV-634682,12/9/2024,In-Store,ES037170,Tullich,AB55,Scotland,Scotland,01JZ3N54PW1A92ZNRYB7ESDGVV,Bamboo Memory Foam Pillow,Home,Bedding & Linens,34.99,10.497,4,0.24,11.509868421052632,Home,Corrected
MVF-283019,1/28/2024,Online,XH062520,Kirkton,KW10,Scotland,Scotland,01JZ3N50MKM6Z86HMK0VE0X0JY,Self-Massaging Pillow,Health,Sleep & Relaxation,49.99,14.997,8,0.19,7.714506172839506,Health,Corrected
YSW-355813,7/2/2024,In-Store,PO009558,Merton,SW19,England,London,01JZ3N51FX8Z7WYGMVG7F0YSXT,Foldable Picnic Table,Outdoor,Outdoor Furniture,49.99,14.997,6,0.37,13.224867724867725,Outdoor,OK
LRP-803159,4/1/2024,Online,ZX008337,Tullich,AB55,Scotland,Scotland,01JZ3N513XDWN5P1JB6VWJH35B,Peach Yogurt,Food,Yogurt,1.29,0.387,7,0.01,0.18614718614718617,Dairy,Corrected
ZHU-728643,5/9/2024,In-Store,DI067107,Newton,IV1,Scotland,Scotland,01JZ3N55EPTAZNA3KX60RKB3NQ,Wrap Jumpsuit,Clothing,Jumpsuits,54.99,16.497,8,0.13,7.900862068965518,Jumpsuits,Corrected
LJV-275168,7/10/2024,Online,LE047809,Birmingham,B12,England,West Midlands,01JZ3N539A5HCSF7DWWR5NDZ0T,Car Diagnostic Scanner,Automotive,Automotive Tools,49.99,14.997,20,0.34,3.7871212121212126,Automotive,OK
PPD-047819,7/8/2024,In-Store,SZ015455,Ford,GL54,England,South West,01JZ3N54NS8RZ04GX2AJZ79DKT,Peach Slices (canned),Food,Canned Fruits,2.49,0.747,3,0.15,0.9764705882352943,Canned Goods,Corrected
THY-738097,4/26/2024,Online,EB064981,Marston,ST20,England,West Midlands,01JZ3N55A8YWVWHPYTD1RHJFHB,Essential Oils Diffuser Necklace,Health,Aromatherapy & Wellness,19.99,5.997,13,0.35,2.3656804733727808,Health,Corrected
INZ-133474,3/29/2024,In-Store,KX027147,Milton,NG22,England,East Midlands,01JZ3N558KZ286JKXHMDJF46W4,Decorative LED Neon Sign,Home,Lighting & Lamps,45.99,13.797,7,0.35,10.107692307692309,Home,Corrected
VWG-856547,9/20/2024,Online,IL009957,Norton,NN11,England,East Midlands,01JZ3N53AE9HMTFV7P3DVP5RRC,Portable Massage Table,Health,Massage Therapy,199.99,59.997,8,0.23,32.46590909090909,Health,OK
ABT-268843,7/16/2024,In-Store,AC082690,London,EC3M,England,London,01JZ3N51NF43S4F83KN8ANJAGV,Mini Waffle Maker,Kitchen,Small Appliances,24.99,7.497,1,0.15,29.4,Kitchen,Corrected
CUW-865430,1/24/2024,Online,VA049493,London,SW1E,England,London,01JZ3N51PTJBK8NSJV8GDX8NH1,Organic Italian Seasoning,Food,Herbs and Spices,2.99,0.897,20,0.08,0.1625,Spices,Corrected
MBM-741069,11/24/2024,In-Store,ZJ097568,London,WC1B,England,London,01JZ3N55V7T7WD21792YV0E465,Soft Plush Throw Blanket,Home,Bedding & Linens,29.99,8.997,13,0.11,2.592048401037165,Home,Corrected
KQJ-001235,4/12/2024,Online,WZ006306,Walton,CV35,England,West Midlands,01JZ3N55NWDR1PYN87QKB5G8GC,Smoked Paprika Chicken Thighs,Food,Prepared Poultry,6.99,2.097,16,0.17,0.526355421686747,Meat,Corrected
REA-513209,3/27/2024,In-Store,XJ066938,Langley,SG4,England,East of England,01JZ3N50MA05MEEWM055VCTKVV,Apricot Jam,Food,Fruit Spreads,4.29,1.287,11,0.02,0.39795918367346944,Condiments,Corrected
LWF-677768,4/9/2024,Online,KX027147,Seaton,LE15,England,East Midlands,01JZ3N558KZ286JKXHMDJF46W4,Decorative LED Neon Sign,Home,Lighting & Lamps,45.99,13.797,11,0.39,6.853949329359166,Home,Corrected
LBS-810439,12/5/2024,In-Store,MQ028717,Whitwell,DL10,England,Yorkshire & the Humber,01JZ3N51K81J5M6WWGKV8BS5XX,Elderberry Syrup,Food,Supplements,11.99,3.597,14,0.01,0.8650793650793651,Supplements,Corrected
ARZ-296904,10/4/2024,Online,NB014517,Milton,NG22,England,East Midlands,01JZ3N52QCAFXYWMDDBS47DJ05,Maple Cinnamon Granola,Food,Granola,4.29,1.287,9,0.32,0.7009803921568628,Cereals,Corrected
VZQ-445742,4/16/2024,In-Store,PB063442,Marston,ST20,England,West Midlands,01JZ3N56NQJT7PSK1CHWNZ3WN8,Cacao Powder,Food,Baking Ingredients,4.49,1.347,20,0.15,0.26411764705882357,Baking,Corrected
AEC-113992,4/20/2024,Online,UA071149,London,EC3M,England,London,01JZ3N51YCN1GFP18YHKZ9NARX,Luxury Bath Salts,Beauty,Bath & Body,19.99,5.997,17,0.2,1.4698529411764703,Beauty,Corrected
CSF-687388,5/27/2024,In-Store,LE047809,Newton,IV1,Scotland,Scotland,01JZ3N539A5HCSF7DWWR5NDZ0T,Car Diagnostic Scanner,Automotive,Automotive Tools,49.99,14.997,5,0.0,3.7871212121212126,Automotive,Corrected
VTD-792335,4/2/2024,Online,DT034609,Walton,CV35,England,West Midlands,01JZ3N512SWNB2MS3TFZ1FX34N,Natural Soy Candles,Home,Home Fragrance & Accessories,19.99,5.997,17,0.32,1.7292387543252596,Home,Corrected
GKM-442541,6/25/2024,In-Store,PN010412,Hatton,CV35,England,North West,01JZ3N55JX79NVSRWTH1ACVZ43,Chickpea Flour,Food,Flours & Meals,3.29,0.987,4,0.22,1.0544871794871795,Baking,City not in reference
HEE-686754,4/12/2024,Online,AS095657,Kinloch,PH43,Scotland,Scotland,01JZ3N52Z38YMBTDKBN72BNGMJ,Pork Chops,Food,Pork,9.49,2.847,15,0.1,0.702962962962963,Meat,Corrected
UAS-390406,7/18/2024,In-Store,LT061731,Horton,BS37,England,South West,01JZ3N5605QF5QNFNAWRYMKMNK,Roasted Sweet Corn,Food,Frozen Vegetables,1.99,0.597,19,0.1,0.11637426900584795,Frozen,Corrected
JSD-384225,7/26/2024,Online,RU058520,Birmingham,B12,England,West Midlands,01JZ3N56BQNGWJE6W17D61P2N9,Ribbed Knit Dress,Clothing,Casual Dresses,59.99,17.997,4,0.08,16.30163043478261,Dresses,Corrected
UTS-951900,10/4/2024,In-Store,WT037292,Linton,BD23,England,South East,01JZ3N55PZNB6Y5TXZQXA1RGGC,Sweet Potato Fries,Food,Frozen Snacks,3.99,1.197,7,0.13,0.6551724137931035,Frozen Foods,City not in reference
BQL-841570,4/24/2024,Online,DF076925,Manchester,M14,England,North West,01JZ3N53TRMVHA7QGZFRK4NPM0,Traditional Hummus,Food,Mediterranean Dips,3.29,0.987,1,0.02,3.357142857142857,Dips,Corrected
HRR-448109,1/29/2024,In-Store,CM032751,Liverpool,L33,England,North West,01JZ3N50CCQKGK69VX46KMSY00,Lemon Dill Chicken Skewers,Food,Marinated Poultry,9.99,2.997,14,0.0,1.5994890123881722,Meat,Corrected
HEV-539434,8/31/2024,Online,OF087559,Church End,CB4,England,East of England,01JZ3N5580F22SME7YWP6763V2,Matcha Green Tea Powder,Food,Tea,14.99,4.497,18,0.37,1.3218694885361553,Beverages,Corrected
AGU-166262,11/24/2024,In-Store,AM053527,Middleton,LE16,England,East Midlands,01JZ3N52G9KWBBS5W8K65XVX37,Stuffed Grape Leaves,Food,International Cuisine,5.79,1.737,3,0.04,2.010416666666667,Prepared Foods,Corrected
UWT-477015,8/12/2024,Online,BD074505,Middleton,LE16,England,East Midlands,01JZ3N54X6QJ7M42VWJJ1R0J5Z,Sturdy Bookends,Office,Office Accessories,22.99,6.897,13,0.35,2.720710059171597,Office,Corrected
PXZ-997751,9/19/2024,In-Store,MJ019298,Bradford,BD7,England,Yorkshire & the Humber,01JZ3N521NPEH9RRK9J11FCCRY,Artisan Pickles,Food,Pickles,2.49,0.747,15,0.06,0.1765957446808511,Condiments,Corrected
CJV-114820,10/13/2024,Online,OC007575,Birmingham,B40,England,West Midlands,01JZ3N51XV292DJKKGKEDEXG03,Eco-Friendly Yoga Blocks,Fitness,Yoga Equipment,15.99,4.797,13,0.05,1.2947368421052632,Fitness,Corrected
HWI-435693,8/1/2024,In-Store,JQ000431,Whitchurch,BS14,England,South West,01JZ3N55H83PKNR5TH9H69YCE3,Sports Water Bottle with Infuser,Fitness,Hydration Gear,19.99,5.997,19,0.34,1.5940988835725678,Fitness,Corrected
TUH-975855,12/19/2024,Online,JX027350,Thorpe,BD23,England,Yorkshire & the Humber,01JZ3N5251JPAGQSNDZ381DJ2D,Avocado Oil Mayo,Food,Dips & Spreads,5.29,1.587,9,0.21,0.7440225035161744,Condiments,Corrected
VJK-207176,9/6/2024,In-Store,AC065424,Bradford,BD7,England,Yorkshire & the Humber,01JZ3N558ZFYZ25WMHC5485RHK,Apple Cinnamon Oatmeal,Food,Instant Breakfast,2.89,0.867,6,0.3,0.6880952380952382,Breakfast,Corrected
TSM-194299,4/10/2024,Online,QR064670,Sutton,RH5,England,South East,01JZ3N52DMR6FQA774NA9ENHTY,Noise Cancelling Ear Muffs,Safety,Hearing Protection,24.99,7.497,9,0.04,2.8923611111111107,Safety,Corrected
PCS-669873,11/28/2024,In-Store,IL085160,Liverpool,L33,England,North West,01JZ3N56FA38DH0AJWS97KXFF5,Yoga Mat,Fitness,Yoga Equipment,25.0,7.5,14,0.37,2.834467120181406,Fitness,OK
LHH-558367,3/22/2024,Online,TV097382,Weston,GU32,England,South East,01JZ3N55NARNE1G3WPE1WGKKCJ,Coffee Capsule Dispenser,Kitchen,Coffee Accessories,24.99,7.497,2,0.32,18.375,Kitchen,Corrected
KOE-889608,4/27/2024,In-Store,RV043501,Hatton,CV35,England,North East,01JZ3N5211H5Z8GNXF13ZBQ4P3,Popcorn Chicken,Food,Frozen Snacks,6.49,1.947,17,0.19,0.4713144517066085,Frozen,City not in reference
QRI-948543,7/1/2024,Online,LJ099998,Leeds,LS6,England,Yorkshire & the Humber,01JZ3N53KVFN1BZ1409F0VRVZK,Organic Baby Spinach,Food,Fresh Vegetables,2.99,0.897,8,0.12,0.4247159090909091,Produce,Corrected
GIK-189195,12/20/2024,In-Store,NF066979,Stapleford,LN6,England,East Midlands,01JZ3N55BZG2B4ZMCC6BSG6CSN,Stainless Steel BBQ Grill Set,Outdoor,Grilling Accessories,49.99,14.997,10,0.28,6.943055555555556,Outdoor,Corrected
WTV-806290,5/30/2024,Online,CY070612,Seaton,LE15,England,East Midlands,01JZ3N531G9AYMH2BNY4X1PHPD,Tomato Basil Pasta Sauce,Food,Pasta Sauces,3.99,1.197,6,0.2,0.8312499999999999,Sauces,Corrected
FZJ-411782,8/5/2024,In-Store,DO001772,Pentre,SY4,Wales,Wales,01JZ3N50BAN4VPEMRXSM07W2AJ,Whole Wheat Pasta,Food,Pasta,2.49,0.747,11,0.23,0.2939787485242031,Grains,Corrected
NPF-752480,8/20/2024,Online,QJ030114,Bristol,BS41,England,South West,01JZ3N51X8ESYNKHE1F3EGQNGB,Microfiber Cleaning Cloth Set,Home,Home Organization,9.99,2.997,4,0.02,2.548469387755102,Home,OK
EWP-440515,1/30/2024,In-Store,AP095673,Linton,BD23,England,North East,01JZ3N523DHKS67YP7SZPV9FYS,Puzzle 3D Model Kit,Toys,Educational Toys,22.99,6.897,12,0.28,2.6608796296296293,Toys,City not in reference
KZT-373731,1/15/2024,Online,NF066979,London,EC1V,England,London,01JZ3N55BZG2B4ZMCC6BSG6CSN,Stainless Steel BBQ Grill Set,Outdoor,Grilling Accessories,49.99,14.997,18,0.35,4.272649572649573,Outdoor,Corrected
UYM-559563,2/23/2024,In-Store,RO013242,Thorpe,BD23,England,Yorkshire & the Humber,01JZ3N56C1A9CHA0N1Y69ZAW81,Nutty Granola Clusters,Food,Granola,2.49,0.747,12,0.06,0.22074468085106386,Cereal,Corrected
WGP-179826,12/9/2024,Online,EF042732,Hatton,CV35,England,East Midlands,01JZ3N50YQRSTBEK1V0TPVB9V1,Vegetable Stir-Fry Sauce,Food,Asian Sauces,3.49,1.047,2,0.22,2.2371794871794872,Sauces,City not in reference
EBE-258783,6/1/2024,In-Store,TA007457,Pentre,SY4,Wales,Wales,01JZ3N53KJEBVF4YQHG9P971C1,Foldable Electric Scooter,Outdoor,Outdoor Accessories,349.99,104.997,3,0.12,132.5719696969697,Outdoor,Corrected
HKR-361612,1/8/2024,Online,SE071898,Langley,SG4,England,East of England,01JZ3N50F0436PFGGCPVTJH0N7,Children's Science Experiment Lab Kit,Toys,Educational Toys,29.99,8.997,20,0.09,1.6478021978021977,Toys,OK
FUJ-789993,3/31/2024,In-Store,HF000394,Liverpool,L74,England,North West,01JZ3N559NT6YEGCRYTD92A483,Savory Italian Herbs,Food,Herb Blends,2.99,0.897,5,0.17,0.7204819277108435,Spices,Corrected
LGE-086752,7/3/2024,Online,YD055268,Langley,SG4,England,East of England,01JZ3N50P7QRCZ56X6EBRNMQA2,Biodegradable Phone Case,Accessories,Eco-Friendly Accessories,23.99,7.197,13,0.3,2.6362637362637362,Accessories,Corrected
RVF-496613,12/16/2024,In-Store,SJ097729,Eaton,DN22,England,East Midlands,01JZ3N569SEYEBC3Y2VT0C9KDN,LED Disco Ball Light,Home,Lighting & Lamps,19.99,5.997,11,0.21,2.3003452243958566,Home,Corrected
QVJ-122549,5/6/2024,Online,MU027586,Birmingham,B12,England,West Midlands,01JZ3N56HY4FQKQHB3EV81GBHT,Ginger Snaps,Food,Cookies & Biscuits,2.79,0.837,12,0.38,0.37500000000000006,Confectionery,OK
HUS-487080,2/6/2024,In-Store,CH053616,Milton,AB56,England,East Midlands,01JZ3N5564R4DZ0FNCBDX3G003,Ginger Turmeric Shots,Food,Health Drinks,3.99,1.197,9,0.15,0.5215686274509804,Beverages,Corrected
EBN-292235,3/14/2024,Online,SW066440,Sutton,CT15,England,South East,01JZ3N53V1DCJKDH1GWMN78CP9,Honey Mustard Chicken Breasts,Food,Processed Meats,8.99,2.697,1,0.11,10.101123595505618,Meat,Corrected
CGW-286266,1/16/2024,In-Store,LR063902,Birmingham,B40,England,West Midlands,01JZ3N55QAK5FSHMPNACECT7AF,Pumpkin Puree,Food,Vegetable Purees,2.99,0.897,18,0.11,0.18664169787765295,Canned Goods,Corrected
PNQ-370403,4/28/2024,Online,YK006641,London,WC1B,England,London,01JZ3N52KE6WBADNVZ1EBY62KA,Miso Soup Mix,Food,Instant Soups,3.29,0.987,17,0.36,0.3023897058823529,Soups,Corrected
ZMO-132174,12/7/2024,In-Store,QP097532,Norton,S8,England,East Midlands,01JZ3N52PTSQ54GHM51GFH98K5,Granola Cereal,Food,Granola/Cereal,4.49,1.347,13,0.38,0.5570719602977667,Breakfast,Corrected
NIR-271379,4/30/2024,Online,PW078874,Liverpool,L33,England,North West,01JZ3N521XB0B19GTMP8GC1TWY,Classic Minestrone Soup,Food,Canned Soups,2.99,0.897,18,0.34,0.25168350168350173,Soups,Corrected
AGP-394891,1/9/2024,In-Store,UX079399,Tullich,AB55,Scotland,Scotland,01JZ3N56EDKJN482JFVHXHX5N3,Ergonomic Mouse Pad with Wrist Support,Office,Office Accessories,14.99,4.497,20,0.36,1.17109375,Office,Corrected
XLY-490554,6/10/2024,Online,MR095188,Birmingham,B40,England,West Midlands,01JZ3N51CRWEQ95V50E9ZWKXWJ,Outdoor Inflatable Pool,Outdoor,Outdoor Recreation,149.99,44.997,11,0.1,15.150505050505052,Outdoor,Corrected
EID-239131,2/7/2024,In-Store,KP021070,Wootton,NN4,England,East Midlands,01JZ3N54V8YM6909XY5GCANCVQ,Cheese Stuffed Jalapenos,Food,Savory Snacks,5.99,1.797,16,0.15,0.4404411764705883,Snacks,Corrected
SRF-971261,6/19/2024,Online,CJ007867,Newton,NG34,Scotland,Scotland,01JZ3N52JGHV09VASZF1B5T3PX,Mini Air Purifier,Health,Health Devices,49.99,14.997,17,0.39,4.820636451301833,Health,Corrected
WEQ-875576,1/23/2024,In-Store,XT003630,Whitwell,DL10,England,Yorkshire & the Humber,01JZ3N51E8MR51C41QCMABZRME,Mini Meatballs,Food,Frozen Appetizers,5.99,1.797,2,0.19,3.697530864197531,Frozen Meals,Corrected
JAP-101546,12/15/2024,Online,ON014862,Dean,OX7,England,South East,01JZ3N52V9P3X4AK5BDTK63N1C,Honey Glazed Carrots,Food,Prepared Vegetables,3.49,1.047,1,0.2,4.3625,Produce,Corrected
YGA-301204,12/17/2024,In-Store,XE095413,Whitwell,DL10,England,Yorkshire & the Humber,01JZ3N56E5FPP5DJHCE2JHF03F,Coconut Cream,Food,Baking Ingredients,2.99,0.897,3,0.13,1.1455938697318009,Baking & Cooking,Corrected
